Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1947,-.08,-.12,-.16,-.11,-.09,-.03,-.05,-.10,-.24,-.26,-.15,-.22,-.13,-.13,-.11,-.12,-.06,-.22
1948,-.18,-.14,-.21,-.20,-.17,-.15,-.23,-.26,-.26,-.18,-.28,-.08,-.20,-.21,-.18,-.20,-.21,-.24
1949,-.10,-.19,-.08,-.19,-.20,-.34,-.16,-.21,-.19,-.20,-.25,-.22,-.19,-.18,-.12,-.16,-.24,-.21
1950,-.24,-.27,-.22,-.20,-.19,-.06,-.01,-.12,-.15,-.35,-.35,-.32,-.20,-.20,-.24,-.20,-.06,-.28
1951,-.33,-.32,-.22,-.35,-.18,-.11,-.09,-.10,-.21,-.11,-.08,-.06,-.18,-.20,-.32,-.25,-.10,-.14
1952,.07,.06,.07,-.10,-.19,-.21,-.05,.02,.00,.01,-.05,-.04,-.03,-.04,.02,-.07,-.08,-.01
1953,-.08,-.07,-.03,-.01,-.01,-.01,-.19,-.07,-.08,-.10,-.12,-.12,-.07,-.07,-.06,-.02,-.09,-.10
1954,-.23,-.19,-.12,-.27,-.33,-.33,-.28,-.34,-.29,-.18,-.20,-.27,-.25,-.24,-.18,-.24,-.32,-.22
1955,-.17,-.19,-.22,-.21,-.29,-.19,-.19,-.05,-.22,-.24,-.19,-.29,-.20,-.20,-.21,-.24,-.14,-.22
1956,-.22,-.17,-.19,-.29,-.29,-.13,.00,-.24,-.08,-.19,-.05,-.03,-.16,-.18,-.23,-.26,-.12,-.11
1957,-.04,-.01,.00,.09,.23,.19,-.06,.14,.05,-.03,.04,.06,.05,.05,-.03,.11,.09,.02
1958,.09,.16,.01,.01,.00,-.20,.06,-.21,-.11,.00,.02,-.15,-.03,-.01,.11,.01,-.12,-.03
1959,-.08,-.02,.03,.09,.05,-.08,.02,-.11,-.25,-.10,-.18,-.10,-.06,-.06,-.08,.06,-.06,-.17
1960,-.15,-.15,-.29,-.17,-.19,-.26,-.16,-.07,.02,.06,-.14,-.02,-.13,-.13,-.14,-.21,-.16,-.02
1961,-.03,.08,-.04,.12,.17,.05,-.04,-.04,.19,.04,-.01,-.16,.03,.04,.01,.08,-.01,.07
1962,-.17,-.08,-.10,-.13,-.15,.19,-.06,-.06,.03,-.10,.00,-.15,-.06,-.07,-.13,-.13,.02,-.02
1963,-.14,-.14,-.16,-.19,-.07,.13,.02,.30,.22,-.12,-.12,-.08,-.03,-.03,-.14,-.14,.15,.00
1964,-.13,-.17,-.10,-.32,-.40,.01,.04,-.21,-.31,-.32,-.21,-.33,-.20,-.18,-.13,-.27,-.05,-.28
1965,-.14,.02,-.16,-.12,-.10,.04,-.08,.12,-.10,-.08,-.15,-.07,-.07,-.09,-.15,-.13,.03,-.11
1966,-.13,-.12,.08,-.04,-.19,-.04,.06,-.30,-.12,-.23,-.03,-.02,-.09,-.09,-.10,-.05,-.09,-.12
1967,.03,-.03,-.14,-.14,.04,-.10,-.01,-.05,-.09,-.12,-.14,-.12,-.07,-.07,-.01,-.08,-.05,-.12
1968,-.21,-.13,-.05,-.12,-.23,-.14,-.17,-.09,-.32,.18,.12,.05,-.09,-.10,-.15,-.13,-.13,.00
1969,.22,.11,.22,.31,.26,.12,-.13,.03,.14,.17,.10,.19,.15,.13,.13,.26,.01,.14
1970,.20,.17,.19,.13,-.06,-.06,.07,-.15,.27,.25,.02,.06,.09,.10,.18,.09,-.05,.18
1971,.09,-.11,-.08,.06,.01,-.20,-.03,.13,.02,.06,-.14,-.04,-.02,-.01,.01,.00,-.03,-.02
1972,.10,.17,.04,.12,.09,.18,.08,.40,.30,.21,.25,.41,.20,.16,.07,.08,.22,.25
1973,.43,.21,.26,.36,.36,.21,.22,.08,.26,.27,.18,-.10,.23,.27,.35,.33,.17,.23
1974,.05,-.18,-.14,-.14,.11,.08,.06,.31,.00,.11,.05,.09,.03,.02,-.08,-.06,.15,.05
1975,.03,.06,.14,.02,.32,.05,.04,-.20,.02,-.06,-.05,-.13,.02,.04,.06,.16,-.03,-.03
1976,-.12,-.01,-.12,-.17,-.16,-.05,.07,-.03,-.01,.04,.21,.47,.01,-.04,-.09,-.15,.00,.08
1977,.52,.34,.22,.27,.42,.31,.32,.33,-.08,.09,.06,.04,.24,.27,.45,.31,.32,.02
1978,-.03,.16,.17,.26,.24,.11,.16,-.12,.12,.06,.11,.14,.11,.11,.06,.22,.05,.10
1979,.22,.16,.20,.47,.06,.20,.03,.30,.31,.29,.33,.41,.25,.23,.17,.25,.18,.31
1980,.38,.38,.53,.45,.44,.22,.31,.28,.31,.15,.38,.34,.35,.35,.39,.47,.27,.28
1981,.25,.22,.28,.26,.31,.30,.54,.53,.16,.02,.12,.28,.27,.28,.27,.28,.46,.10
1982,.24,.14,.01,.13,.27,.11,.25,.15,.23,.27,.47,.48,.23,.21,.22,.14,.17,.32
1983,.51,.51,.41,.49,.63,.35,.17,.46,.48,.22,.12,.22,.38,.40,.50,.51,.33,.27
1984,.28,.26,.35,.19,.42,-.03,.30,.33,.46,.19,.24,.33,.28,.27,.26,.32,.20,.30
1985,.36,.22,.35,.27,.20,.29,.15,.34,.23,.21,.08,.11,.23,.25,.31,.27,.26,.17
1986,.16,.43,.34,.29,.23,.10,.25,.27,.09,.22,.16,.20,.23,.22,.23,.29,.21,.16
1987,.39,.36,.38,.43,.29,.53,.57,.24,.33,.45,.49,.43,.41,.39,.32,.36,.45,.42
1988,.54,.43,.56,.41,.45,.40,.24,.52,.46,.51,.18,.14,.40,.43,.47,.47,.38,.39
1989,.16,.20,.25,.25,.12,.10,.36,.40,.45,.33,.27,.40,.27,.25,.16,.21,.29,.35
1990,.35,.33,.42,.42,.41,.28,.58,.28,.05,.42,.48,.44,.37,.37,.36,.42,.38,.32
1991,.26,.43,.25,.46,.37,.59,.52,.43,.52,.29,.27,.44,.40,.40,.37,.36,.51,.36
1992,.34,.30,.41,.39,.45,.47,.28,.24,.18,.30,.14,.21,.31,.33,.36,.42,.33,.20
1993,.30,.21,.33,.32,.26,.25,.38,.21,.30,.34,.29,.15,.28,.28,.24,.31,.28,.31
1994,.19,.10,.08,.34,.18,.45,.27,.11,.31,.30,.39,.40,.26,.24,.15,.20,.28,.33
1995,.29,.39,.35,.21,.14,.37,.53,.37,.25,.35,.31,.24,.32,.33,.36,.23,.43,.31
1996,.22,.37,.34,.46,.22,.26,.43,.76,.45,.34,.42,.39,.39,.38,.28,.34,.49,.40
1997,.25,.21,.29,.19,.26,.59,.28,.37,.54,.60,.71,.68,.41,.39,.28,.25,.41,.61
1998,.55,.72,.55,.40,.71,.82,.59,.60,.24,.31,.38,.37,.52,.54,.65,.55,.67,.31
1999,.37,.27,.36,.09,.17,.38,.41,.33,.36,.28,.21,.16,.28,.30,.34,.21,.37,.29
2000,.11,.22,.27,.23,.17,.35,.36,.37,.40,.27,.41,.30,.29,.28,.16,.22,.36,.36
2001,.34,.42,.35,.42,.46,.52,.55,.33,.47,.42,.47,.47,.44,.42,.35,.41,.47,.46
2002,.51,.43,.64,.66,.75,.39,.56,.52,.63,.56,.40,.46,.54,.54,.47,.68,.49,.53
2003,.57,.60,.53,.50,.50,.42,.50,.44,.47,.49,.42,.52,.50,.49,.54,.51,.45,.46
2004,.50,.53,.40,.53,.24,.41,.05,.40,.41,.52,.48,.57,.42,.42,.52,.39,.29,.47
2005,.54,.49,.55,.43,.48,.51,.50,.54,.52,.55,.42,.52,.50,.51,.53,.49,.52,.50
2006,.47,.50,.48,.37,.23,.50,.41,.72,.48,.44,.53,.43,.46,.47,.50,.36,.54,.48
2007,.58,.50,.50,.47,.66,.58,.55,.46,.52,.33,.36,.22,.48,.50,.51,.54,.53,.40
2008,.27,.17,.34,.42,.38,.38,.60,.36,.64,.48,.42,.43,.41,.39,.22,.38,.45,.51
2009,.47,.36,.49,.51,.64,.62,.81,.65,.61,.52,.79,.70,.60,.57,.42,.55,.69,.64
2010,.70,.74,.74,.56,.57,.51,.38,.49,.56,.52,.43,.39,.55,.57,.71,.62,.46,.50
2011,.42,.39,.41,.44,.39,.47,.68,.78,.40,.41,.50,.32,.47,.47,.40,.41,.64,.44
2012,.29,.40,.43,.36,.59,.36,.32,.52,.58,.67,.59,.61,.48,.45,.34,.46,.40,.61
2013,.57,.46,.54,.41,.44,.61,.51,.66,.84,.55,.54,.55,.56,.56,.54,.46,.59,.64
2014,.54,.38,.37,.52,.83,.55,.40,.73,.91,.68,.54,.48,.58,.58,.49,.57,.56,.71
2015,.53,.61,.58,.48,.56,.58,.57,.61,.55,.90,.75,.78,.62,.60,.54,.54,.59,.73
2016,.79,.79,.78,.74,.80,.50,.67,.91,.60,.74,.70,.68,.73,.73,.79,.78,.69,.68
2017,.66,.75,.80,.69,.90,.53,.67,.72,.55,.75,.53,.47,.67,.69,.70,.80,.64,.61
2018,.49,.45,.61,.80,.63,.69,.75,.65,.64,.79,.69,.73,.66,.64,.47,.68,.70,.71
2019,.67,.78,.80,.77,.72,.65,.85,.79,.64,.72,.80,.80,.75,.74,.73,.76,.77,.72
2020,.75,.78,.68,.85,.76,.71,.69,.62,.78,.56,.60,.39,.68,.72,.78,.77,.68,.65
2021,.36,.37,***,***,***,***,***,***,***,***,***,***,***,***,.37,***,***,***
